SERVICE|STATE|HEALTH|RESTARTS|CONTAINER
datasource-india|running|healthy|0|clisonix-datasource-india
ollama|running|healthy|0|clisonix-ollama
dr_albana|running|healthy|0|clisonix-dr-albana
redis|running|healthy|0|clisonix-redis
knowledge|running|healthy|0|clisonix-knowledge
lab-korce|running|healthy|0|clisonix-lab-korce
postgres|running|healthy|0|clisonix-postgres
userdata|running|healthy|0|clisonix-userdata
biometric|running|healthy|0|clisonix-biometric
datasource-central-asia|running|healthy|0|clisonix-datasource-central-asia
lab-elbasan|running|healthy|0|clisonix-lab-elbasan
lab-prague|running|healthy|0|clisonix-lab-prague
loki|running|healthy|0|clisonix-loki
marketplace|running|healthy|0|clisonix-marketplace
user-management|running|healthy|0|clisonix-user-management
adaptive-router|running|healthy|0|clisonix-adaptive-router
jona|running|healthy|0|clisonix-jona
api|running|healthy|0|clisonix-api
lab-zurich|running|healthy|0|clisonix-lab-zurich
ocean-core-blerina|running|healthy|0|clisonix-ocean-core-blerina
orchestra|running|healthy|0|clisonix-orchestra
behavioral|running|healthy|0|clisonix-behavioral
crawler|running|healthy|0|clisonix-crawler
excel|running|healthy|0|clisonix-excel
lab-istanbul|running|healthy|0|clisonix-lab-istanbul
neo4j|running|healthy|0|clisonix-neo4j
victoriametrics|running|healthy|0|clisonix-victoriametrics
lab-bucharest|running|healthy|0|clisonix-lab-bucharest
alda|running|healthy|0|clisonix-alda
alphabet-layers|running|healthy|0|clisonix-alphabet-layers
video-generator|running|healthy|0|clisonix-video-generator
blerina|running|healthy|0|clisonix-blerina
blog_publisher|running|healthy|0|clisonix-blog-publisher
datasource-africa|running|healthy|0|clisonix-datasource-africa
jaeger|running|healthy|0|clisonix-jaeger
lab-athens|running|healthy|0|clisonix-lab-athens
lab-sofia|running|healthy|0|clisonix-lab-sofia
analytics|running|healthy|0|clisonix-advanced-analytics
blog-paywall|running|healthy|0|clisonix-blog-paywall
kitchen-worker|running|healthy|0|clisonix-kitchen-worker
lab-durres|running|healthy|0|clisonix-lab-durres
lab-vienna|running|healthy|0|clisonix-lab-vienna
ocean-core|running|healthy|0|clisonix-ocean-core
openmind|running|healthy|0|clisonix-openmind
shopping-therapy|running|healthy|0|clisonix-shopping-therapy
matia|running|healthy|0|clisonix-matia
web|running|healthy|0|clisonix-web
nginx|running|healthy|0|clisonix-nginx
ocean-mission-service|running|healthy|0|clisonix-ocean-mission
reporting|running|healthy|0|clisonix-reporting
agiem|running|healthy|0|clisonix-agiem
kloud-upstream-runtime|running|healthy|0|clisonix-kloud-upstream-runtime
kloud-bridge|running|healthy|0|clisonix-kloud-bridge
saas|running|healthy|0|clisonix-saas
saas-api|running|healthy|0|clisonix-saas-api
datasource-americas|running|healthy|0|clisonix-datasource-americas
datasource-asia|running|healthy|0|clisonix-datasource-asia
developer-portal|running|healthy|0|clisonix-developer-portal
lab-ljubljana|running|healthy|0|clisonix-lab-ljubljana
lab-tirana|running|healthy|0|clisonix-lab-tirana
mongodb|not-created|n/a|n/a|-
personas|running|healthy|0|clisonix-personas
tempo|running|healthy|0|clisonix-tempo
asi|running|healthy|0|clisonix-asi
economy|running|healthy|0|clisonix-economy
lab-saranda|running|healthy|0|clisonix-lab-saranda
lab-shkoder|running|healthy|0|clisonix-lab-shkoder
lab-zagreb|running|healthy|0|clisonix-lab-zagreb
newsroom|running|healthy|0|clisonix-newsroom
content-factory|running|healthy|0|clisonix-content-factory
prometheus|running|healthy|0|clisonix-prometheus
grafana|running|healthy|0|clisonix-grafana
lab-cairo|running|healthy|0|clisonix-lab-cairo
lab-vlore|running|healthy|0|clisonix-lab-vlore
usage-analytics|running|healthy|0|clisonix-analytics
alba-idle|running|healthy|0|clisonix-alba-idle
albi-user|running|healthy|0|clisonix-albi-user
cognitive-engine|running|healthy|0|clisonix-cognitive-engine
datasource-oceania|running|healthy|0|clisonix-datasource-oceania
minio|running|healthy|0|clisonix-minio
multi-tenant|running|healthy|0|clisonix-multi-tenant
ocean-core-multimodal|running|healthy|0|clisonix-ocean-core-multimodal
aviation|running|healthy|0|clisonix-aviation
curiosity|running|healthy|0|clisonix-curiosity
liam|running|healthy|0|clisonix-liam
lab-beograd|running|healthy|0|clisonix-lab-beograd
lab-jerusalem|running|healthy|0|clisonix-lab-jerusalem
cycle|running|healthy|0|clisonix-cycle
kloud-rust-node|running|none|6|clisonix-kloud-rust-node
ocean-core-strict-chat|running|healthy|0|clisonix-ocean-core-strict-chat
ollama-multi-api|running|healthy|0|clisonix-ollama-multi-api
agent-telemetry|running|healthy|0|clisonix-agent-telemetry
alba|running|healthy|0|clisonix-alba
intelligence-lab|running|healthy|0|clisonix-intelligence-lab
lab-budapest|running|healthy|0|clisonix-lab-budapest
lab-kostur|running|healthy|0|clisonix-lab-kostur
lab-prishtina|running|healthy|0|clisonix-lab-prishtina
lagter|running|healthy|0|clisonix-lagter
albi|running|healthy|0|clisonix-albi
lab-rome|running|healthy|0|clisonix-lab-rome
datasource-antarctica|running|healthy|0|clisonix-datasource-antarctica
linkedin-poster|running|healthy|0|clisonix-linkedin-poster
neurosonix|running|healthy|0|clisonix-neurosonix
regulatory-service|running|healthy|0|clisonix-regulatory
datasource-europe|running|healthy|0|clisonix-datasource-europe
